YEAR,STATION,Entries 06:00 to 10:00,Exits 06:00 to 10:00,Entries 10:00 to 15:00,Exits 10:00 to 15:00,Entries 15:00 to 19:00,Exits 15:00 to 19:00,Entries 19:00  to 06:00,Exits 19:00  to 06:00,Entries 24 hours,Exits 24 hours
2017,Edmondson Park Station,-,-,-,-,-,-,-,-,1330,1240
2017,Emu Plains Station,1230,140,150,120,170,1050,160,300,1710,1610
2017,Engadine Station,860,180,220,190,180,820,160,180,1420,1370
2017,Epping Station,6830,2110,2130,1610,2550,6090,750,2570,12260,12380
2017,Erskineville Station,1580,480,420,340,680,1190,250,600,2930,2610
2017,Exeter Station,-,-,-,-,-,-,-,-,0,0
2017,Fairfield Station,3720,1250,1800,1700,1600,3660,850,1270,7970,7880
2017,Fairy Meadow Station,-,-,-,-,-,-,-,-,130,110
2017,Fassifern Station,250,50,90,80,60,240,60,60,460,430
2017,Faulconbridge Station,-,-,-,-,-,-,-,-,130,130
2017,Flemington Station,2100,700,990,550,900,1670,330,1140,4320,4060
2017,Gerringong Station,-,-,-,-,-,-,-,-,50,50
2017,Glenbrook Station,-,-,-,-,-,-,-,-,620,560
2017,Glenfield Station,3440,900,1090,630,690,3120,600,990,5820,5640
2017,Gordon Station,4290,1150,1190,890,1520,3690,370,1240,7370,6970
2017,Gosford Station,2800,1160,950,740,1210,2660,770,1120,5730,5680
2017,Goulburn Station,-,-,-,-,-,-,-,-,40,30
2017,Granville Station,2940,1110,1570,1050,1480,2810,970,1620,6960,6590
2017,Green Square Station,3600,4980,1750,1530,5420,3040,810,1500,11580,11050
2017,Greta Station,-,-,-,-,-,-,-,-,0,0
2017,Guildford Station,1680,260,590,470,470,1390,330,620,3070,2740
2017,Gymea Station,1500,380,370,330,370,1280,150,370,2390,2360
2017,Hamilton Station,390,770,470,450,730,360,150,180,1740,1760
2017,Harris Park Station,1410,240,510,340,420,1170,300,680,2640,2430
2017,Hawkesbury River Station,-,-,-,-,-,-,-,-,230,230
2017,Hazelbrook Station,-,-,-,-,-,-,-,-,400,380
2017,Heathcote Station,430,60,100,80,60,380,60,100,650,620
2017,Helensburgh Station,-,-,-,-,-,-,-,-,690,640
2017,Hexham Station,-,-,-,-,-,-,-,-,10,10
2017,High Street Station,-,-,-,-,-,-,-,-,20,30
2017,Hilldale Station,-,-,-,-,-,-,-,-,0,0
2017,Holsworthy Station,2870,190,380,340,310,2450,350,700,3910,3680
2017,Homebush Station,1630,300,620,390,560,1280,290,950,3100,2920
2017,Hornsby Station,6400,2550,2480,2200,2940,6420,1020,2100,12840,13270
2017,Hurlstone Park Station,990,80,270,190,170,780,90,260,1520,1310
2017,Hurstville Station,9630,2730,5520,4480,4920,10530,1890,4720,21960,22460
2017,Ingleburn Station,2020,610,610,500,610,1850,390,680,3630,3640
2017,International Station,1210,2100,1210,1090,930,990,660,550,4010,4730
2017,Jannali Station,2080,220,390,360,300,1810,180,450,2950,2840
2017,Katoomba Station,280,220,370,590,440,320,100,140,1190,1270
2017,Kiama Station,190,60,130,140,90,160,60,70,470,430
2017,Killara Station,1680,160,470,330,320,1250,100,590,2570,2330
2017,Kings Cross Station,5170,5270,3160,2780,5660,5860,2350,3170,16340,17080
2017,Kingsgrove Station,1300,650,540,360,740,1160,230,500,2810,2670
2017,Kingswood Station,1120,580,490,470,640,930,280,330,2530,2310
2017,Kirrawee Station,870,200,250,200,270,730,90,240,1480,1370
2017,Kogarah Station,4600,3010,3080,2220,3450,4300,1140,2410,12270,11940
2017,Koolewong Station,-,-,-,-,-,-,-,-,130,100
2017,Kotara Station,-,-,-,-,-,-,-,-,40,30
2017,Lakemba Station,1790,390,1070,790,640,1700,410,700,3910,3580
2017,Lapstone Station,-,-,-,-,-,-,-,-,160,150
2017,Lawson Station,-,-,-,-,-,-,-,-,200,190
2017,Leightonfield Station,-,-,-,-,-,-,-,-,280,290
2017,Leppington Station,1250,70,150,150,110,1030,170,340,1680,1590
2017,Leumeah Station,1920,100,320,300,190,1740,390,560,2820,2700
2017,Leura Station,140,40,120,130,170,150,70,80,500,400
2017,Lewisham Station,1800,560,550,300,660,1330,160,480,3170,2670
2017,Lidcombe Station,5770,2140,2960,2230,3230,5390,1450,3360,13410,13120
2017,Linden Station,-,-,-,-,-,-,-,-,10,20
2017,Lindfield Station,2390,440,720,590,660,1940,180,740,3950,3710
2017,Lisarow Station,-,-,-,-,-,-,-,-,240,200
2017,Lithgow Station,130,40,70,50,50,110,40,60,290,260
2017,Liverpool Station,2950,2650,2230,2110,2890,3230,1020,1150,9090,9140
2017,Lochinvar Station,-,-,-,-,-,-,-,-,0,0
2017,Loftus Station,-,-,-,-,-,-,-,-,700,650
2017,Lysaghts Station,-,-,-,-,-,-,-,-,0,0
2017,Macarthur Station,1300,640,650,690,750,1380,430,480,3130,3190
2017,Macdonaldtown Station,750,430,280,280,470,710,130,310,1630,1730
2017,Macquarie Fields Station,680,60,180,130,180,600,160,220,1200,1010
2017,Macquarie Park Station,730,3230,580,530,3260,750,390,310,4960,4820
2017,Macquarie University Station,2050,4740,2980,4050,6130,3520,1810,1220,12970,13530
2017,Maitland Station,-,-,-,-,-,-,-,-,430,390
2017,Marayong Station,680,170,170,130,210,540,90,160,1150,1000
2017,Marrickville Station,2410,630,930,660,900,2180,340,820,4580,4290
2017,Martin Place Station,830,19080,3410,3980,16360,2360,3640,750,24240,26170
2017,Martins Creek Station,-,-,-,-,-,-,-,-,0,0
2017,Marulan Station,-,-,-,-,-,-,-,-,0,0
2017,Mascot Station,3570,6370,2500,1740,6610,3560,1350,2370,14030,14040
2017,Meadowbank Station,2830,860,940,550,900,2050,290,1110,4960,4570
2017,Medlow Bath Station,-,-,-,-,-,-,-,-,40,40
2017,Menangle Park Station,-,-,-,-,-,-,-,-,0,0
2017,Menangle Station,-,-,-,-,-,-,-,-,10,10
2017,Merrylands Station,2830,640,1230,1110,1050,2820,740,1120,5850,5690
2017,Metford Station,-,-,-,-,-,-,-,-,100,100
2017,Milsons Point Station,2700,2820,1730,1570,3000,2820,940,1280,8370,8490
2017,Mindaribba Station,-,-,-,-,-,-,-,-,0,0
2017,Minnamurra Station,-,-,-,-,-,-,-,-,110,100
2017,Minto Station,2220,290,500,430,400,2080,480,670,3600,3470
2017,Miranda Station,1280,820,800,920,1140,1580,440,440,3660,3760
2017,Mittagong Station,-,-,-,-,-,-,-,-,160,150
2017,Morisset Station,450,60,160,180,110,400,140,130,860,770
2017,Mortdale Station,2430,220,660,510,410,1900,280,780,3780,3410
2017,Moss Vale Station,-,-,-,-,-,-,-,-,190,170
2017,Mount Colah Station,-,-,-,-,-,-,-,-,580,530
2017,Mount Druitt Station,4710,860,1430,1290,1020,4510,980,1210,8140,7870
2017,Mount Kuring-gai Station,-,-,-,-,-,-,-,-,280,250
2017,Mount Victoria Station,-,-,-,-,-,-,-,-,100,90
2017,Mulgrave Station,-,-,-,-,-,-,-,-,390,360
2017,Museum Station,1390,8160,2540,2900,7640,2420,2360,1020,13930,14500
2017,Muswellbrook Station,-,-,-,-,-,-,-,-,20,10
2017,Narara Station,-,-,-,-,-,-,-,-,430,360
2017,Narwee Station,1310,70,350,210,160,980,130,500,1950,1760
2017,Newcastle Station,-,-,-,-,-,-,-,-,20,10
2017,Newtown Station,3770,1760,1840,1880,2350,4920,1360,1590,9320,10150
2017,Niagara Park Station,-,-,-,-,-,-,-,-,160,140
2017,Normanhurst Station,1150,300,300,180,450,810,60,290,1960,1580
2017,North Ryde Station,280,1860,360,340,1800,340,180,140,2620,2680
2017,North Strathfield Station,1720,350,430,330,500,1460,190,600,2840,2740
2017,North Sydney Station,3740,22580,5270,5170,21360,4800,2980,2050,33350,34600
2017,North Wollongong Station,520,960,650,680,950,500,270,240,2390,2380
2017,Oak Flats Station,300,70,90,90,140,220,80,120,610,500
2017,Oatley Station,1530,210,380,290,320,1290,120,400,2350,2190
2017,Olympic Park Station,280,2330,720,430,2070,390,320,200,3390,3350
2017,Otford Station,-,-,-,-,-,-,-,-,60,40
2017,Ourimbah Station,170,100,80,70,100,130,40,60,390,360
2017,Padstow Station,2820,430,670,520,600,2440,380,880,4470,4270
2017,Panania Station,1050,240,270,150,220,850,110,260,1650,1500
2017,Parramatta Station,10810,17410,8040,7870,18310,12940,3630,4680,40790,42900
2017,Paterson Station,-,-,-,-,-,-,-,-,10,0
2017,Pendle Hill Station,2210,330,510,410,470,1820,280,620,3470,3180
2017,Pennant Hills Station,2060,550,650,510,760,2060,170,580,3640,3700
2017,Penrith Station,4070,1640,1320,1250,1640,4240,990,1120,8020,8250
2017,Penrose Station,-,-,-,-,-,-,-,-,0,0
2017,Penshurst Station,2200,210,650,390,390,1660,290,850,3530,3110
2017,Petersham Station,1800,810,700,510,950,1610,250,580,3700,3510
2017,Picton Station,-,-,-,-,-,-,-,-,240,210
2017,Point Clare Station,-,-,-,-,-,-,-,-,260,230
2017,Port Kembla North Station,-,-,-,-,-,-,-,-,0,0
2017,Port Kembla Station,-,-,-,-,-,-,-,-,70,60
2017,Punchbowl Station,1680,250,650,490,390,1500,260,490,2980,2730
2017,Pymble Station,1600,610,420,290,830,1270,120,450,2970,2620
2017,Quakers Hill Station,2550,460,620,440,490,2060,260,550,3920,3510
2017,Redfern Station,5400,14620,5950,8390,14290,6690,4930,3040,30570,32740
2017,Regents Park Station,500,460,260,180,490,510,110,170,1360,1320
2017,Revesby Station,2730,350,690,640,550,2440,370,800,4340,4230
2017,Rhodes Station,4150,2890,1970,1180,3340,3430,710,2310,10170,9810
2017,Richmond Station,470,90,240,170,150,410,120,160,980,830
2017,Riverstone Station,520,120,150,140,150,410,70,120,890,790
2017,Riverwood Station,2790,300,810,530,520,2340,420,1060,4540,4230
2017,Rockdale Station,5190,990,2590,1870,1930,4550,1270,3090,10980,10500
2017,Rooty Hill Station,1810,190,500,390,320,1720,370,600,3000,2900
2017,Rosehill Station,-,-,-,-,-,-,-,-,190,140
2017,Roseville Station,1760,340,510,440,560,1370,170,600,3000,2750
2017,Rydalmere Station,-,-,-,-,-,-,-,-,160,180
2017,Sandgate Station,-,-,-,-,-,-,-,-,20,10
2017,Scarborough Station,-,-,-,-,-,-,-,-,10,0
2017,Schofields Station,1420,50,140,110,80,1200,130,280,1770,1640
2017,Scone Station,-,-,-,-,-,-,-,-,10,10
2017,Sefton Station,350,140,160,100,180,270,40,90,730,600
2017,Seven Hills Station,4030,860,1050,880,1150,3630,630,1250,6860,6620
2017,Shellharbour Junction Station,-,-,-,-,-,-,-,-,190,190
2017,Singleton Station,-,-,-,-,-,-,-,-,20,20
2017,Springwood Station,910,120,170,190,210,810,140,210,1430,1330
2017,St James Station,340,7350,2010,2400,7300,1270,1560,330,11210,11350
2017,St Leonards Station,4430,9740,3300,2990,9510,4410,1640,1900,18880,19040
2017,St Marys Station,2610,910,780,630,930,2490,570,700,4890,4730
2017,St Peters Station,2510,770,550,400,940,1860,350,830,4350,3860
2017,Stanmore Station,2440,520,610,470,840,1980,230,600,4120,3570
2017,Stanwell Park Station,-,-,-,-,-,-,-,-,60,60
2017,Strathfield Station,9460,4410,5090,4070,6400,9290,2890,5690,23840,23460
2017,Summer Hill Station,2410,390,670,480,640,1870,220,710,3940,3450
2017,Sutherland Station,4980,960,1290,1290,1140,4240,700,1330,8110,7820
2017,Sydenham Station,2330,1960,1220,860,2190,2120,900,1950,6640,6890
2017,Tahmoor Station,-,-,-,-,-,-,-,-,210,180
2017,Tallong Station,-,-,-,-,-,-,-,-,0,0
2017,Tarro Station,-,-,-,-,-,-,-,-,0,0
2017,Tascott Station,-,-,-,-,-,-,-,-,200,180
2017,Telarah Station,-,-,-,-,-,-,-,-,170,130
2017,Telopea Station,-,-,-,-,-,-,-,-,310,230
2017,Tempe Station,990,340,240,150,380,850,90,310,1700,1650
2017,Teralba Station,-,-,-,-,-,-,-,-,40,20
2017,Thirroul Station,750,50,180,150,110,630,130,300,1170,1130
2017,Thornleigh Station,1520,190,290,260,280,1310,140,420,2230,2180
2017,Thornton Station,-,-,-,-,-,-,-,-,190,190
2017,Toongabbie Station,1670,230,470,380,340,1440,220,480,2700,2530
2017,Town Hall Station,7480,54090,18940,24270,56640,21840,24570,7030,107630,107230
2017,Towradgi Station,-,-,-,-,-,-,-,-,80,80
2017,Tuggerah Station,770,170,210,220,190,790,280,240,1450,1420
2017,Turramurra Station,3020,470,760,550,640,2480,190,860,4610,4360
2017,Turrella Station,700,90,230,130,190,510,110,370,1230,1100
2017,Unanderra Station,270,50,80,60,70,230,70,120,490,460
2017,Valley Heights Station,-,-,-,-,-,-,-,-,100,80
2017,Victoria Street Station,-,-,-,-,-,-,-,-,340,310
2017,Villawood Station,240,120,120,120,140,190,40,70,540,500
2017,Vineyard Station,-,-,-,-,-,-,-,-,110,120
2017,Wahroonga Station,1330,420,330,320,500,1020,120,370,2280,2130
2017,Waitara Station,2520,490,420,340,640,2020,170,800,3750,3650
2017,Wallarobba Station,-,-,-,-,-,-,-,-,0,0
2017,Warabrook Station,-,-,-,-,-,-,-,-,540,550
2017,Waratah Station,-,-,-,-,-,-,-,-,180,160
2017,Warnervale Station,-,-,-,-,-,-,-,-,270,240
2017,Warrawee Station,620,280,130,100,380,440,40,170,1170,990
2017,Warrimoo Station,-,-,-,-,-,-,-,-,210,200
2017,Warwick Farm Station,1580,250,400,340,360,1390,370,500,2710,2480
2017,Waterfall Station,-,-,-,-,-,-,-,-,480,490
2017,Waverton Station,1400,320,480,280,480,1030,130,500,2490,2130
2017,Wentworth Falls Station,210,60,110,120,110,200,50,80,480,460
2017,Wentworthville Station,2430,280,580,450,460,2050,310,710,3780,3490
2017,Werrington Station,720,70,150,120,120,630,170,200,1160,1020
2017,West Ryde Station,2620,650,930,680,810,2340,390,1080,4750,4750
2017,Westmead Station,3380,2600,1560,1210,2640,2570,620,1310,8200,7690
2017,Wickham Station,-,-,-,-,-,-,-,-,0,0
2017,Wiley Park Station,960,120,470,330,270,830,210,400,1910,1680
2017,Windsor Station,520,120,160,160,140,500,140,140,960,920
2017,Wingello Station,-,-,-,-,-,-,-,-,0,0
2017,Wirragulla Station,-,-,-,-,-,-,-,-,0,0
2017,Wolli Creek Station,3580,650,1620,930,1430,3200,760,2490,7390,7270
2017,Wollongong Station,710,490,450,390,520,680,300,390,1980,1950
2017,Wollstonecraft Station,1980,170,480,370,340,1460,130,650,2930,2650
2017,Wombarra Station,-,-,-,-,-,-,-,-,20,30
2017,Wondabyne Station,-,-,-,-,-,-,-,-,10,10
2017,Woodford Station,-,-,-,-,-,-,-,-,120,110
2017,Woolooware Station,920,100,170,150,140,790,130,300,1360,1340
2017,Woonona Station,-,-,-,-,-,-,-,-,190,160
2017,Woy Woy Station,3120,250,610,610,320,3120,770,1000,4820,4980
2017,Wyee Station,-,-,-,-,-,-,-,-,270,260
2017,Wynyard Station,7240,56100,11070,12410,48260,10420,10890,3630,77460,82560
2017,Wyong Station,820,190,260,250,200,810,350,270,1630,1520
2017,Yagoona Station,1050,150,350,270,250,900,200,360,1850,1680
2017,Yennora Station,480,320,180,160,340,400,100,200,1100,1080
2017,Yerrinbool Station,-,-,-,-,-,-,-,-,20,20
2017,Zig Zag Station,-,-,-,-,-,-,-,-,0,0
2018,Aberdeen Station,-,-,-,-,-,-,-,-,0,0
2018,Adamstown Station,-,-,-,-,-,-,-,-,110,100
2018,Albion Park Station,-,-,-,-,-,-,-,-,300,260
2018,Allawah Station,1930,160,670,380,430,1510,310,910,3340,2960
2018,Arncliffe Station,1720,160,560,350,420,1390,220,790,2920,2690
2018,Artarmon Station,3600,910,1060,910,1330,2880,390,1250,6380,5950
2018,Ashfield Station,6160,2340,2970,2030,3100,5600,1290,3340,13520,13310
2018,Asquith Station,1240,290,300,170,320,840,60,310,1920,1610
2018,Auburn Station,5170,2190,3520,2780,3500,5700,2130,3360,14320,14030
2018,Austinmer Station,-,-,-,-,-,-,-,-,170,140
2018,Awaba Station,-,-,-,-,-,-,-,-,20,10
2018,Banksia Station,1260,130,280,190,270,1070,150,410,1960,1800
2018,Bankstown Station,3880,2100,2450,2370,2520,4230,980,1540,9830,10240
2018,Bardwell Park Station,890,60,210,180,130,750,110,250,1340,1240
2018,Bargo Station,-,-,-,-,-,-,-,-,70,80
2018,Bathurst Station,-,-,-,-,-,-,-,-,70,30
2018,Beecroft Station,1630,190,370,320,340,1330,100,430,2440,2270
2018,Bell Station,-,-,-,-,-,-,-,-,0,0
2018,Bellambi Station,-,-,-,-,-,-,-,-,140,120
2018,Belmore Station,1640,260,610,480,430,1410,360,640,3040,2790
2018,Berala Station,1230,120,460,370,270,1220,280,470,2240,2180
2018,Beresfield Station,-,-,-,-,-,-,-,-,200,200
2018,Berowra Station,1320,90,150,140,140,1090,90,250,1700,1570
2018,Berry Station,-,-,-,-,-,-,-,-,80,80
2018,Beverly Hills Station,1490,230,440,240,320,1250,210,570,2460,2290
2018,Bexley North Station,900,70,220,150,140,740,110,310,1370,1270
2018,Birrong Station,770,110,290,160,120,660,90,220,1270,1150
2018,Blackheath Station,-,-,-,-,-,-,-,-,280,270
2018,Blacktown Station,7270,3670,3870,3490,4140,8060,1990,2710,17270,17930
2018,Blaxland Station,540,50,90,110,80,460,100,130,810,750
2018,Bomaderry Station,-,-,-,-,-,-,-,-,360,330
2018,Bombo Station,-,-,-,-,-,-,-,-,20,10
2018,Bondi Junction Station,13170,5780,4810,5210,7380,12140,3060,4440,28420,27570
2018,Booragul Station,-,-,-,-,-,-,-,-,40,30
2018,Bowral Station,130,40,70,70,60,90,40,40,300,240
2018,Branxton Station,-,-,-,-,-,-,-,-,0,10
2018,Broadmeadow Station,330,150,230,170,170,320,150,150,880,790
2018,Bullaburra Station,-,-,-,-,-,-,-,-,80,70
2018,Bulli Station,-,-,-,-,-,-,-,-,240,170
2018,Bundanoon Station,-,-,-,-,-,-,-,-,10,10
2018,Burradoo Station,-,-,-,-,-,-,-,-,0,30
2018,Burwood Station,6390,4170,5140,4460,5710,7910,2530,3870,19770,20410
2018,Cabramatta Station,4310,1010,2390,2250,1490,3930,1010,1680,9200,8870
2018,Camellia Station,-,-,-,-,-,-,-,-,60,80
2018,Campbelltown Station,3300,930,950,1020,970,3390,1210,1010,6430,6350
2018,Campsie Station,4170,910,2220,1780,1600,4170,1180,2220,9170,9080
2018,Canley Vale Station,1680,200,620,410,360,1420,310,730,2970,2760
2018,Canterbury Station,1610,300,750,360,540,1380,320,890,3220,2930
2018,Cardiff Station,370,90,160,160,140,310,150,150,820,710
2018,Caringbah Station,1770,690,570,470,760,1550,260,480,3360,3190
2018,Carlingford Station,-,-,-,-,-,-,-,-,430,330
2018,Carlton Station,2050,190,610,400,400,1610,250,830,3310,3030
2018,Carramar Station,310,60,150,110,90,270,80,100,630,540
2018,Casula Station,230,40,80,70,50,180,60,60,420,350
2018,Central Station,13550,56610,22810,30640,57240,21680,22630,8810,116230,117740
2018,Chatswood Station,7060,9470,5870,6200,11090,10130,3680,3450,27700,29250
2018,Cheltenham Station,-,-,-,-,-,-,-,-,1540,1340
2018,Chester Hill Station,600,240,270,210,290,570,140,200,1300,1220
2018,Circular Quay Station,3430,10920,5420,7620,12970,5170,4570,1720,26390,25430
2018,Clarendon Station,-,-,-,-,-,-,-,-,100,90
2018,Clyde Station,440,640,340,290,720,430,170,270,1670,1630
2018,Coalcliff Station,-,-,-,-,-,-,-,-,20,10
2018,Cockle Creek Station,-,-,-,-,-,-,-,-,40,40
2018,Coledale Station,-,-,-,-,-,-,-,-,50,50
2018,Como Station,690,40,100,90,60,510,50,160,900,800
2018,Concord West Station,1380,510,390,300,600,1140,130,440,2500,2390
2018,Coniston Station,150,50,60,50,50,130,50,50,310,280
2018,Corrimal Station,-,-,-,-,-,-,-,-,170,130
2018,Cowan Station,-,-,-,-,-,-,-,-,70,70
2018,Cringila Station,-,-,-,-,-,-,-,-,10,10
2018,Cronulla Station,1300,390,660,630,520,1190,280,400,2760,2610
2018,Croydon Station,1640,310,440,320,550,1400,170,520,2800,2550
2018,Dapto Station,320,50,100,80,70,310,140,120,630,560
2018,Denistone Station,-,-,-,-,-,-,-,-,720,620
2018,Domestic Station,2100,2450,2530,2430,2460,2820,1500,810,8590,8510
2018,Doonside Station,2040,160,470,350,270,1770,280,530,3060,2810
2018,Dora Creek Station,-,-,-,-,-,-,-,-,70,50
2018,Douglas Park Station,-,-,-,-,-,-,-,-,30,30
2018,Dulwich Hill Station,1620,400,490,370,580,1270,290,620,2980,2660
2018,Dundas Station,-,-,-,-,-,-,-,-,210,180
2018,Dungog Station,-,-,-,-,-,-,-,-,30,20
2018,East Hills Station,700,60,160,120,90,600,100,190,1050,970
2018,East Maitland Station,-,-,-,-,-,-,-,-,40,40
2018,East Richmond Station,-,-,-,-,-,-,-,-,210,350
2018,Eastwood Station,4140,1030,1880,1630,1640,3810,830,1860,8490,8330
2018,Edgecliff Station,4340,2870,2020,1730,3070,3830,810,1350,10240,9780
2018,Edmondson Park Station,1510,80,200,180,130,1300,180,390,2020,1950
2018,Emu Plains Station,1200,150,160,130,200,1070,170,260,1730,1610
2018,Engadine Station,950,180,210,210,190,840,150,190,1500,1420
2018,Epping Station,7250,1960,2180,1680,2520,6430,800,2680,12750,12750
2018,Erskineville Station,1670,410,410,320,550,1100,260,600,2890,2430
2018,Exeter Station,-,-,-,-,-,-,-,-,10,0
2018,Fairfield Station,3530,1370,1860,1790,1600,3320,890,1270,7880,7750
2018,Fairy Meadow Station,-,-,-,-,-,-,-,-,120,110
2018,Fassifern Station,270,40,100,90,40,230,60,50,470,410
2018,Faulconbridge Station,-,-,-,-,-,-,-,-,150,140
2018,Flemington Station,2310,780,1140,660,1000,1890,420,1270,4870,4600
2018,Gerringong Station,-,-,-,-,-,-,-,-,40,50
2018,Glenbrook Station,-,-,-,-,-,-,-,-,640,580
2018,Glenfield Station,3660,930,1220,670,720,3350,720,1100,6320,6050
2018,Gordon Station,4480,1110,1150,990,1520,3750,380,1350,7530,7200
2018,Gosford Station,2700,1310,890,740,1260,2590,790,1010,5640,5650
2018,Goulburn Station,-,-,-,-,-,-,-,-,60,50
2018,Granville Station,2650,1140,1590,1010,1490,2580,1060,1530,6790,6260
2018,Green Square Station,3800,5390,2120,1680,5900,3450,950,1620,12770,12140
2018,Greta Station,-,-,-,-,-,-,-,-,0,0
2018,Guildford Station,1740,290,710,530,500,1580,430,680,3380,3080
2018,Gymea Station,1680,280,380,370,380,1400,170,390,2610,2440
2018,Hamilton Station,250,250,260,200,260,240,110,120,880,810
2018,Harris Park Station,1030,250,430,350,400,940,320,530,2180,2070
2018,Hawkesbury River Station,-,-,-,-,-,-,-,-,230,250
2018,Hazelbrook Station,-,-,-,-,-,-,-,-,420,370
2018,Heathcote Station,460,60,80,80,60,400,60,100,660,640
2018,Helensburgh Station,-,-,-,-,-,-,-,-,690,650
2018,Hexham Station,-,-,-,-,-,-,-,-,20,20
2018,High Street Station,-,-,-,-,-,-,-,-,20,30
2018,Hilldale Station,-,-,-,-,-,-,-,-,0,0
2018,Holsworthy Station,2950,240,370,360,340,2570,400,650,4060,3820
2018,Homebush Station,1880,320,730,440,600,1500,350,990,3560,3250
2018,Hornsby Station,6340,2550,2510,2340,3050,6550,1040,2280,12940,13720
2018,Hurlstone Park Station,1030,100,300,180,200,780,110,390,1640,1450
2018,Hurstville Station,9650,2760,5420,4540,4960,10680,2090,4960,22120,22940
2018,Ingleburn Station,2020,580,680,570,620,1940,440,680,3760,3770
2018,International Station,1430,2040,1320,1190,950,980,700,540,4400,4750
2018,Jannali Station,2080,230,370,360,300,1810,170,450,2920,2850
2018,Katoomba Station,270,220,370,580,390,280,120,140,1150,1220
2018,Kembla Grange Station,-,-,-,-,-,-,-,-,0,0
2018,Kiama Station,190,60,120,160,90,160,50,70,450,450
2018,Killara Station,1780,150,470,400,310,1270,90,570,2650,2390
2018,Kings Cross Station,5100,5370,3220,2800,5620,5760,2230,3000,16170,16930
2018,Kingsgrove Station,1250,570,560,330,610,1130,230,530,2650,2560
2018,Kingswood Station,1170,620,530,500,720,1010,320,380,2740,2510
2018,Kirrawee Station,900,280,290,210,320,750,110,250,1620,1490
2018,Kogarah Station,4760,3060,3000,2260,3570,4470,1280,2440,12610,12230
2018,Koolewong Station,-,-,-,-,-,-,-,-,150,100
2018,Kotara Station,-,-,-,-,-,-,-,-,50,50
2018,Lakemba Station,1910,340,1050,930,690,2060,710,990,4360,4320
2018,Lapstone Station,-,-,-,-,-,-,-,-,170,150
2018,Lawson Station,-,-,-,-,-,-,-,-,200,170
2018,Leightonfield Station,-,-,-,-,-,-,-,-,270,300
2018,Leppington Station,1590,110,220,210,160,1480,260,360,2230,2160
2018,Leumeah Station,2070,130,390,350,210,2000,470,540,3140,3020
2018,Leura Station,150,40,120,120,180,160,60,70,510,390
2018,Lewisham Station,1960,500,530,290,620,1500,190,610,3300,2900
2018,Lidcombe Station,5870,2200,3130,2370,3420,5640,1700,3410,14120,13620
2018,Linden Station,-,-,-,-,-,-,-,-,10,10
2018,Lindfield Station,2450,440,740,590,680,2070,180,720,4050,3820
2018,Lisarow Station,-,-,-,-,-,-,-,-,230,190
2018,Lithgow Station,-,-,-,-,-,-,-,-,250,260
2018,Liverpool Station,2940,3150,2500,2310,3260,3220,1190,1250,9890,9930
2018,Lochinvar Station,-,-,-,-,-,-,-,-,0,0
2018,Loftus Station,-,-,-,-,-,-,-,-,670,620
2018,Lysaghts Station,-,-,-,-,-,-,-,-,0,0
2018,Macarthur Station,1330,660,720,760,780,1490,450,420,3280,3330
2018,Macdonaldtown Station,630,290,210,170,370,470,110,250,1320,1180
2018,Macquarie Fields Station,640,40,160,140,210,600,150,200,1160,980
2018,Macquarie Park Station,790,3100,590,560,3120,820,360,370,4860,4850
2018,Macquarie University Station,2040,4280,2850,3990,5640,3520,1750,1220,12280,13010
2018,Maitland Station,-,-,-,-,-,-,-,-,530,480
2018,Marayong Station,680,170,200,150,200,630,100,180,1180,1130
2018,Marrickville Station,2380,570,900,700,890,2150,440,970,4610,4390
2018,Martin Place Station,780,19400,3240,3920,16400,2220,3490,800,23910,26340
2018,Martins Creek Station,-,-,-,-,-,-,-,-,10,0
2018,Marulan Station,-,-,-,-,-,-,-,-,0,0
2018,Mascot Station,4070,6610,3150,2060,7080,4230,1610,3060,15910,15960
2018,Meadowbank Station,3020,990,1020,570,990,2230,340,1140,5370,4930
2018,Medlow Bath Station,-,-,-,-,-,-,-,-,60,60
2018,Menangle Park Station,-,-,-,-,-,-,-,-,0,0
2018,Menangle Station,-,-,-,-,-,-,-,-,10,10
2018,Merrylands Station,2800,760,1360,1180,1160,2810,840,1190,6160,5940
2018,Metford Station,-,-,-,-,-,-,-,-,90,90
2018,Milsons Point Station,2710,2590,1560,1450,2850,2780,840,1230,7960,8050
2018,Mindaribba Station,-,-,-,-,-,-,-,-,0,0
2018,Minnamurra Station,-,-,-,-,-,-,-,-,130,120
2018,Minto Station,2170,300,520,460,430,2110,570,690,3690,3560
2018,Miranda Station,1410,1010,920,1050,1200,1630,440,470,3970,4160
2018,Mittagong Station,-,-,-,-,-,-,-,-,190,160
2018,Morisset Station,520,60,150,160,100,480,150,130,920,830
2018,Mortdale Station,2630,230,690,550,420,2060,320,880,4060,3720
2018,Moss Vale Station,-,-,-,-,-,-,-,-,220,200
2018,Mount Colah Station,-,-,-,-,-,-,-,-,650,570
2018,Mount Druitt Station,4530,870,1480,1320,1050,4620,1090,1230,8150,8040
2018,Mount Kuring-gai Station,-,-,-,-,-,-,-,-,290,280
2018,Mount Victoria Station,-,-,-,-,-,-,-,-,100,80
2018,Mulgrave Station,-,-,-,-,-,-,-,-,380,360
2018,Museum Station,1330,8070,2540,2850,7570,2500,2290,1040,13730,14460
